post_id,title,category,score,num_comments,author,collected_at
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,59,17,meribold,2026-04-09 16:19:08.485298
47689237,US cities are axing Flock Safety surveillance technology,technology,729,411,giuliomagnifico,2026-04-09 16:19:08.636007
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,393,185,nickvec,2026-04-09 16:19:08.778686
47699814,Process Manager for Autonomous AI Agents,technology,55,19,ankitg12,2026-04-09 16:19:08.999127
47704137,OpenAI pulls out of landmark £31B UK investment package,technology,9,4,mellosouls,2026-04-09 16:19:09.159804
47696562,Show HN: Is Hormuz open yet?,entertainment,429,186,anonfunction,2026-04-09 16:19:09.319091
47656518,Your File System Is Already A Graph Database,technology,179,75,alxndr,2026-04-09 16:19:09.476154
47679121,Project Glasswing: Securing critical software for the AI era,technology,1504,810,Ryan5453,2026-04-09 16:19:09.551468
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,10,4,bjord,2026-04-09 16:19:09.625732
47703498,White-Collar Workers Are Rebelling Against AI – 80% Refuse Adoption Mandates,technology,14,5,sarimkx,2026-04-09 16:19:09.793301
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,125,142,latchkey,2026-04-09 16:19:09.867553
47704285,Clean code in the age of coding agents,technology,43,50,yanis_t,2026-04-09 16:19:10.021665
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,320,56,chrsw,2026-04-09 16:19:10.176050
47700084,"Code Is Cheap Now, and That Changes Everything",technology,54,52,v-mdev,2026-04-09 16:19:10.493042
47674606,Show HN: Unicode Steganography,technology,54,13,PatrickVuscan,2026-04-09 16:19:10.728110
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,59,11,rvitorper,2026-04-09 16:19:10.878268
47698067,You Can Just Print an Air Purifier,technology,30,4,zdw,2026-04-09 16:19:11.104553
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,106,31,pruz,2026-04-09 16:19:13.410222
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,53,24,vkatluri,2026-04-09 16:19:13.965489
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,105,57,indraneelpatil,2026-04-09 16:19:14.043189
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,612,259,zixuanlimit,2026-04-09 16:19:15.165084
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,776,234,sam-bee,2026-04-09 16:19:15.472842
47622717,Study investigates how mass distribution of baseball bat affects performance,science,24,17,Magi604,2026-04-09 16:19:15.849230
47680124,IPv6 is the only way forward,worldnews,100,302,quaintdev,2026-04-09 16:19:17.031223
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,284,66,frasermarlow,2026-04-09 16:19:17.406231
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,113,26,rryan,2026-04-09 16:19:18.012289
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,55,18,zdw,2026-04-09 16:19:18.252802
47627217,Running out of disk space in production,science,219,127,romes,2026-04-09 16:19:18.878364
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,227,27,MediaSquirrel,2026-04-09 16:19:18.966222
47704700,"'Snoopy', 'Adolf' and 'Password': The Hungarian Government Passwords Exposed",worldnews,9,3,lschueller,2026-04-09 16:19:19.308996
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,16,8,xarchive,2026-04-09 16:19:19.614465
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-09 16:19:19.683364
47672778,Breaking the console: a brief history of video game security,sports,95,26,sprado,2026-04-09 16:19:19.835323
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,121,19,ductionist,2026-04-09 16:19:19.911650
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-09 16:19:19.987786
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-09 16:19:20.379453
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,12,3,super_ar,2026-04-09 16:19:20.703339
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,464,199,MattHart88,2026-04-09 16:19:21.260970
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,115,32,noone_youknow,2026-04-09 16:19:21.803048
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-09 16:19:22.402830
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-09 16:19:22.839281
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,163,akyuu,2026-04-09 16:19:22.916413
47637828,Show HN: Tusk for macOS and Gnome,entertainment,120,49,factorialboy,2026-04-09 16:19:23.144351
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,247,204,Zm44,2026-04-09 16:19:24.096781
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-09 16:19:24.487730
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,28,12,ashish004,2026-04-09 16:19:24.784728
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,317,90,player_piano,2026-04-09 16:19:25.337881
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,27,1,ibobev,2026-04-09 16:19:25.573246
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09 16:19:25.811594
47660853,Book review: There Is No Antimemetics Division,entertainment,279,226,ibobev,2026-04-09 16:19:26.116367
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,66,12,4RH1T3CT0R,2026-04-09 16:19:26.358854
47637377,LÖVE: 2D Game Framework for Lua,sports,414,217,cl3misch,2026-04-09 16:19:29.294702
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-09 16:19:30.139306
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,977,621,zaikunzhang,2026-04-09 16:19:30.796276
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,31,11,brene,2026-04-09 16:19:31.652665
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-09 16:19:31.725490
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-09 16:19:31.812648
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,36,23,beardyw,2026-04-09 16:19:32.508648
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-09 16:19:37.844968
47697980,"Account Verification for Windows Hardware Program Begins October 16, 2025",worldnews,5,0,TiredOfLife,2026-04-09 16:19:38.234019
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-09 16:19:40.139404
47648404,My Google Workspace account suspension,science,369,221,zenincognito,2026-04-09 16:19:40.751267
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09 16:19:41.525409
47629485,A case study in testing with 100+ Claude agents in parallel,science,67,54,thejash,2026-04-09 16:19:42.377417
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,222,148,pseudolus,2026-04-09 16:19:43.147990
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,62,angst,2026-04-09 16:19:45.601137
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09 16:19:46.202760
47694522,"With Orion still flying, NASA is nearing key decisions about Artemis III",science,9,2,LorenDB,2026-04-09 16:19:46.505190
